key,id,name,js,fx,awt,gl,cat,doc
Composition.ALPHANUMERIC,0x280001,ALPHANUMERIC,Alphanumeric,ALPHANUMERIC,VK_ALPHANUMERIC,,Composition,The Alphanumeric key
Composition.CODE_INPUT,0x280002,CODE_INPUT,CodeInput,CODE_INPUT,VK_CODE_INPUT,,Composition,The Code Input key
Composition.COMPOSE,0x280003,COMPOSE,Compose,COMPOSE,VK_COMPOSE,,Composition,The Compose key
Composition.CONVERT,0x280004,CONVERT,Convert,CONVERT,VK_CONVERT,,Composition,The Convert key
Composition.DEAD,0x280005,DEAD,Dead,,,,Composition,The Dead key
Composition.FINAL_MODE,0x280006,FINAL_MODE,FinalMode,FINAL,VK_FINAL,,Composition,The Final Mode key
Composition.GROUP_FIRST,0x280007,GROUP_FIRST,GroupFirst,,,,Composition,The Group First key
Composition.GROUP_LAST,0x280008,GROUP_LAST,GroupLast,,,,Composition,The Group Last key
Composition.GROUP_NEXT,0x280009,GROUP_NEXT,GroupNext,,,,Composition,The Group Next key
Composition.GROUP_PREVIOUS,0x28000a,GROUP_PREVIOUS,GroupPrevious,,,,Composition,The Group Previous key
Composition.MODE_CHANGE,0x28000b,MODE_CHANGE,ModeChange,MODECHANGE,VK_MODECHANGE,,Composition,The Mode Change key
Composition.NON_CONVERT,0x28000c,NON_CONVERT,NonConvert,NONCONVERT,VK_NONCONVERT,,Composition,The Non Convert key
Composition.PREVIOUS_CANDIDATE,0x28000d,PREVIOUS_CANDIDATE,PreviousCandidate,PREVIOUS_CANDIDATE,VK_PREVIOUS_CANDIDATE,,Composition,The Previous Candidate key
Composition.PROCESS,0x28000e,PROCESS,Process,,,,Composition,The Process key
Composition.SINGLE_CANDIDATE,0x28000f,SINGLE_CANDIDATE,SingleCandidate,,,,Composition,The Single Candidate key
Composition.HANGUL_MODE,0x280010,HANGUL_MODE,HangulMode,,,,Composition,The Hangul Mode key
Composition.HANJA_MODE,0x280011,HANJA_MODE,HanjaMode,,,,Composition,The Hanja Mode key
Composition.JUNJA_MODE,0x280012,JUNJA_MODE,JunjaMode,,,,Composition,The Junja Mode key
Composition.EISU,0x280013,EISU,Eisu,,,,Composition,The Eisu key
Composition.HANKAKU,0x280014,HANKAKU,Hankaku,HALF_WIDTH,VK_HALF_WIDTH,,Composition,The Hankaku key
Composition.HIRAGANA,0x280015,HIRAGANA,Hiragana,HIRAGANA,VK_HIRAGANA,,Composition,The Hiragana key
Composition.HIRAGANA_KATAKANA,0x280016,HIRAGANA_KATAKANA,HiraganaKatakana,,,,Composition,The Hiragana Katakana key
Composition.KANA_MODE,0x280017,KANA_MODE,KanaMode,KANA_LOCK,VK_KANA_LOCK,,Composition,The Kana Mode key
Composition.KANJI_MODE,0x280018,KANJI_MODE,KanjiMode,KANJI,VK_KANJI,,Composition,The Kanji Mode key
Composition.KATAKANA,0x280019,KATAKANA,Katakana,KATAKANA,VK_KATAKANA,,Composition,The Katakana key
Composition.ROMAJI,0x28001a,ROMAJI,Romaji,ROMAN_CHARACTERS,VK_ROMAN_CHARACTERS,,Composition,The Romaji key
Composition.ZENKAKU,0x28001b,ZENKAKU,Zenkaku,FULL_WIDTH,VK_FULL_WIDTH,,Composition,The Zenkaku key
Composition.ZENKAKU_HANKAKU,0x28001c,ZENKAKU_HANKAKU,ZenkakuHankaku,,,,Composition,The Zenkaku Hankaku key
Function.F1,0x290000,F1,F1,F1,VK_F1,GLFW_KEY_F1,Function,The F1 key
Function.F2,0x290001,F2,F2,F2,VK_F2,GLFW_KEY_F2,Function,The F2 key
Function.F3,0x290002,F3,F3,F3,VK_F3,GLFW_KEY_F3,Function,The F3 key
Function.F4,0x290003,F4,F4,F4,VK_F4,GLFW_KEY_F4,Function,The F4 key
Function.F5,0x290004,F5,F5,F5,VK_F5,GLFW_KEY_F5,Function,The F5 key
Function.F6,0x290005,F6,F6,F6,VK_F6,GLFW_KEY_F6,Function,The F6 key
Function.F7,0x290006,F7,F7,F7,VK_F7,GLFW_KEY_F7,Function,The F7 key
Function.F8,0x290007,F8,F8,F8,VK_F8,GLFW_KEY_F8,Function,The F8 key
Function.F9,0x290008,F9,F9,F9,VK_F9,GLFW_KEY_F9,Function,The F9 key
Function.F10,0x290009,F10,F10,F10,VK_F10,GLFW_KEY_F10,Function,The F10 key
Function.F11,0x29000a,F11,F11,F11,VK_F11,GLFW_KEY_F11,Function,The F11 key
Function.F12,0x29000b,F12,F12,F12,VK_F12,GLFW_KEY_F12,Function,The F12 key
Function.F13,0x29000c,F13,F13,F13,VK_F13,GLFW_KEY_F13,Function,The F13 key
Function.F14,0x29000d,F14,F14,F14,VK_F14,GLFW_KEY_F14,Function,The F14 key
Function.F15,0x29000e,F15,F15,F15,VK_F15,GLFW_KEY_F15,Function,The F15 key
Function.F16,0x29000f,F16,F16,F16,VK_F16,GLFW_KEY_F16,Function,The F16 key
Function.F17,0x290010,F17,F17,F17,VK_F17,GLFW_KEY_F17,Function,The F17 key
Function.F18,0x290011,F18,F18,F18,VK_F18,GLFW_KEY_F18,Function,The F18 key
Function.F19,0x290012,F19,F19,F19,VK_F19,GLFW_KEY_F19,Function,The F19 key
Function.F20,0x290013,F20,F20,F20,VK_F20,GLFW_KEY_F20,Function,The F20 key
Function.F21,0x290014,F21,F21,F21,VK_F21,GLFW_KEY_F21,Function,The F21 key
Function.F22,0x290015,F22,F22,F22,VK_F22,GLFW_KEY_F22,Function,The F22 key
Function.F23,0x290016,F23,F23,F23,VK_F23,GLFW_KEY_F23,Function,The F23 key
Function.F24,0x290017,F24,F24,F24,VK_F24,GLFW_KEY_F24,Function,The F24 key
Function.F25,0x290018,F25,F25,,,GLFW_KEY_F25,Function,The F25 key
Function.F26,0x290019,F26,F26,,,,Function,The F26 key
Function.F27,0x29001a,F27,F27,,,,Function,The F27 key
Function.F28,0x29001b,F28,F28,,,,Function,The F28 key
Function.F29,0x29001c,F29,F29,,,,Function,The F29 key
