key,id,name,js,fx,awt,gl,cat,doc
MediaController.DVR,0x2f0008,DVR,DVR,,,,MediaController,The Dvr key
MediaController.GUIDE,0x2f0009,GUIDE,Guide,,,,MediaController,The Guide key
MediaController.INFO,0x2f000a,INFO,Info,INFO,,,MediaController,The Info key
MediaController.MEDIA_AUDIO_TRACK,0x2f000b,MEDIA_AUDIO_TRACK,MediaAudioTrack,,,,MediaController,The Media Audio Track key
MediaController.MEDIA_LAST,0x2f000c,MEDIA_LAST,MediaLast,,,,MediaController,The Media Last key
MediaController.MEDIA_TOP_MENU,0x2f000d,MEDIA_TOP_MENU,MediaTopMenu,,,,MediaController,The Media Top Menu key
MediaController.MEDIA_SKIP_BACKWARD,0x2f000e,MEDIA_SKIP_BACKWARD,MediaSkipBackward,,,,MediaController,The Media Skip Backward key
MediaController.MEDIA_SKIP_FORWARD,0x2f000f,MEDIA_SKIP_FORWARD,MediaSkipForward,,,,MediaController,The Media Skip Forward key
MediaController.MEDIA_STEP_BACKWARD,0x2f0010,MEDIA_STEP_BACKWARD,MediaStepBackward,,,,MediaController,The Media Step Backward key
MediaController.MEDIA_STEP_FORWARD,0x2f0011,MEDIA_STEP_FORWARD,MediaStepForward,,,,MediaController,The Media Step Forward key
MediaController.NAVIGATE_IN,0x2f0012,NAVIGATE_IN,NavigateIn,,,,MediaController,The Navigate In key
MediaController.NAVIGATE_NEXT,0x2f0013,NAVIGATE_NEXT,NavigateNext,,,,MediaController,The Navigate Next key
MediaController.NAVIGATE_OUT,0x2f0014,NAVIGATE_OUT,NavigateOut,,,,MediaController,The Navigate Out key
MediaController.NAVIGATE_PREVIOUS,0x2f0015,NAVIGATE_PREVIOUS,NavigatePrevious,,,,MediaController,The Navigate Previous key
MediaController.PAIRING,0x2f0016,PAIRING,Pairing,,,,MediaController,The Pairing key
MediaController.PIN_P_TOGGLE,0x2f0017,PIN_P_TOGGLE,PinPToggle,,,,MediaController,The Pin P Toggle key
MediaController.RANDOM_TOGGLE,0x2f0018,RANDOM_TOGGLE,RandomToggle,,,,MediaController,The Random Toggle key
MediaController.SETTINGS,0x2f0019,SETTINGS,Settings,,,,MediaController,The Settings key
MediaController.STB_INPUT,0x2f001a,STB_INPUT,STBInput,,,,MediaController,The Stb Input key
MediaController.STB_POWER,0x2f001b,STB_POWER,STBPower,,,,MediaController,The Stb Power key
MediaController.SUBTITLE,0x2f001c,SUBTITLE,Subtitle,,,,MediaController,The Subtitle key
MediaController.TELETEXT,0x2f001d,TELETEXT,Teletext,,,,MediaController,The Teletext key
MediaController.VIDEO_MODE_NEXT,0x2f001e,VIDEO_MODE_NEXT,VideoModeNext,,,,MediaController,The Video Mode Next key
MediaController.ZOOM_TOGGLE,0x2f001f,ZOOM_TOGGLE,ZoomToggle,,,,MediaController,The Zoom Toggle key
Document.CLOSE,0x300000,CLOSE,Close,,,,Document,The Close key
Document.NEW,0x300001,NEW,New,,,,Document,The New key
Document.OPEN,0x300002,OPEN,Open,,,,Document,The Open key
Document.PRINT,0x300003,PRINT,Print,,,,Document,The Print key
Document.SAVE,0x300004,SAVE,Save,,,,Document,The Save key
Document.MAIL_FORWARD,0x300005,MAIL_FORWARD,MailForward,,,,Document,The Mail Forward key
Document.MAIL_REPLY,0x300006,MAIL_REPLY,MailReply,,,,Document,The Mail Reply key
Document.MAIL_SEND,0x300007,MAIL_SEND,MailSend,,,,Document,The Mail Send key
Document.SPELL_CHECK,0x300008,SPELL_CHECK,SpellCheck,,,,Document,The Spell Check key
